,annee,mois,region,SIN_N/N-1
342,2022,7,Bretagne,-0.018612048555637473
343,2022,8,Bretagne,0.04188688075386393
344,2022,9,Bretagne,0.05580076887430008
345,2022,10,Bretagne,0.024549571961653083
346,2022,11,Bretagne,0.04250786395740391
347,2022,12,Bretagne,0.017401371536874377
348,2022,1,Centre-Val-de-Loire,0.02470193228517048
349,2022,2,Centre-Val-de-Loire,-0.0043707306154093795
350,2022,3,Centre-Val-de-Loire,0.0604648510981165
351,2022,4,Centre-Val-de-Loire,-0.031114148813038534
352,2022,5,Centre-Val-de-Loire,0.13344152096364192
353,2022,6,Centre-Val-de-Loire,-0.04163224445031277
354,2022,7,Centre-Val-de-Loire,-0.012148702581923243
355,2022,8,Centre-Val-de-Loire,0.045121482869806995
356,2022,9,Centre-Val-de-Loire,0.034972000688757277
357,2022,10,Centre-Val-de-Loire,0.018805522868202473
358,2022,11,Centre-Val-de-Loire,0.05839457638653234
359,2022,12,Centre-Val-de-Loire,0.018311319037954465
360,2022,1,Grand Est,0.05730563569521552
361,2022,2,Grand Est,-0.0193609044951224
362,2022,3,Grand Est,0.053763668925830066
363,2022,4,Grand Est,-0.022812502503004817
364,2022,5,Grand Est,0.09385027240055899
365,2022,6,Grand Est,-0.052779427322680705
366,2022,7,Grand Est,-0.030506707776326025
367,2022,8,Grand Est,0.041956516435135205
368,2022,9,Grand Est,0.03338296286127185
369,2022,10,Grand Est,0.019350147335033485
370,2022,11,Grand Est,0.037043919213590515
371,2022,12,Grand Est,0.006411263678865575
372,2022,1,Hauts-de-France,0.04104834249012357
373,2022,2,Hauts-de-France,-0.014414456865742942
374,2022,3,Hauts-de-France,0.07298287250026703
375,2022,4,Hauts-de-France,-0.030710387729268818
376,2022,5,Hauts-de-France,0.1102993808538284
377,2022,6,Hauts-de-France,-0.029432312454962695
378,2022,7,Hauts-de-France,-0.011262335573833715
379,2022,8,Hauts-de-France,0.05654194671172452
380,2022,9,Hauts-de-France,0.04666571463373903
381,2022,10,Hauts-de-France,0.017441599854977063
382,2022,11,Hauts-de-France,0.04476033074043917
383,2022,12,Hauts-de-France,0.01509644320998138
384,2022,1,Ile-de-France,0.032304271763230474
385,2022,2,Ile-de-France,0.07340109485530322
386,2022,3,Ile-de-France,0.018885436805111677
387,2022,4,Ile-de-France,0.020266333556359983
388,2022,5,Ile-de-France,0.06787793013181509
389,2022,6,Ile-de-France,-0.038733808764550015
390,2022,7,Ile-de-France,-0.01625126426581991
391,2022,8,Ile-de-France,0.07555637519749214
392,2022,9,Ile-de-France,0.06232027226690873
393,2022,10,Ile-de-France,-0.0036414617814050088
394,2022,11,Ile-de-France,0.04162366858674793
395,2022,12,Ile-de-France,0.0030138624671134373
396,2022,1,Normandie,0.016859065022040154
397,2022,2,Normandie,-0.003740452137379391
398,2022,3,Normandie,0.0742906965923904
399,2022,4,Normandie,-0.03551037255188094
400,2022,5,Normandie,0.12177874891415708
401,2022,6,Normandie,-0.03268857372778178
402,2022,7,Normandie,-0.02423329633479543
403,2022,8,Normandie,0.06719136004648729
404,2022,9,Normandie,0.043425847852456734
405,2022,10,Normandie,0.02363595154742515
406,2022,11,Normandie,0.048608385741811366
407,2022,12,Normandie,0.013960776258815866
408,2022,1,Nouvelle-Aquitaine,0.03333075627911608
409,2022,2,Nouvelle-Aquitaine,0.009820989358895416
410,2022,3,Nouvelle-Aquitaine,0.028651222263065268
411,2022,4,Nouvelle-Aquitaine,-0.022371053006281616
412,2022,5,Nouvelle-Aquitaine,0.07902659950120516
413,2022,6,Nouvelle-Aquitaine,-0.04197202709470382
414,2022,7,Nouvelle-Aquitaine,-0.035808743072130444
415,2022,8,Nouvelle-Aquitaine,0.06019343130059007
416,2022,9,Nouvelle-Aquitaine,0.036348934675368705
417,2022,10,Nouvelle-Aquitaine,0.024867434051454085
418,2022,11,Nouvelle-Aquitaine,0.04337082789505864
419,2022,12,Nouvelle-Aquitaine,0.01951224282138031
420,2022,1,Occitanie,0.031411485447898846
421,2022,2,Occitanie,0.045347277164548006
422,2022,3,Occitanie,0.0003574909805359461
423,2022,4,Occitanie,-0.0021037006340305364
424,2022,5,Occitanie,0.0393074543902705
425,2022,6,Occitanie,-0.04215646801995676
426,2022,7,Occitanie,-0.019948051368518405
427,2022,8,Occitanie,0.057375059880562684
428,2022,9,Occitanie,0.03998857161687153
429,2022,10,Occitanie,0.02601069246859078
430,2022,11,Occitanie,0.052757525114608184
431,2022,12,Occitanie,0.013922952923425047
432,2022,1,Pays de la Loire,0.017137366976267554
433,2022,2,Pays de la Loire,-0.022944959566192025
434,2022,3,Pays de la Loire,0.05444769553496798
435,2022,4,Pays de la Loire,-0.06114888999089796
436,2022,5,Pays de la Loire,0.1015299769222926
437,2022,6,Pays de la Loire,-0.046802779650928716
438,2022,7,Pays de la Loire,-0.03498744003549903
439,2022,8,Pays de la Loire,0.052501268555640745
440,2022,9,Pays de la Loire,0.0386260697966303
441,2022,10,Pays de la Loire,0.023996595330202153
442,2022,11,Pays de la Loire,0.06073724505998146
443,2022,12,Pays de la Loire,0.028074425781448697
444,2022,1,Provence-Alpes-Côte d'Azur et Corse,0.06310091131790774
445,2022,2,Provence-Alpes-Côte d'Azur et Corse,0.020646220273357496
446,2022,3,Provence-Alpes-Côte d'Azur et Corse,0.055222714222375124
447,2022,4,Provence-Alpes-Côte d'Azur et Corse,-0.02431642029304215
448,2022,5,Provence-Alpes-Côte d'Azur et Corse,0.08174443895708805
449,2022,6,Provence-Alpes-Côte d'Azur et Corse,-0.03221844380361649
450,2022,7,Provence-Alpes-Côte d'Azur et Corse,-0.02686179990325699
451,2022,8,Provence-Alpes-Côte d'Azur et Corse,0.05902879895145818
452,2022,9,Provence-Alpes-Côte d'Azur et Corse,0.05418683744295838
453,2022,10,Provence-Alpes-Côte d'Azur et Corse,0.0316008181551557
454,2022,11,Provence-Alpes-Côte d'Azur et Corse,0.04719919075680967
455,2022,12,Provence-Alpes-Côte d'Azur et Corse,0.014727363547582195
456,2022,1,Régions et Départements d'outre-mer,0.02941669456982199
457,2022,2,Régions et Départements d'outre-mer,-0.004007401053049753
458,2022,3,Régions et Départements d'outre-mer,-0.0027002822351598343
459,2022,4,Régions et Départements d'outre-mer,-0.015420927401233686
460,2022,5,Régions et Départements d'outre-mer,0.04904977991558046
461,2022,6,Régions et Départements d'outre-mer,-0.014236743893798365
462,2022,7,Régions et Départements d'outre-mer,0.0351312249314113
463,2022,8,Régions et Départements d'outre-mer,0.06814713579408704
464,2022,9,Régions et Départements d'outre-mer,0.0872117216749917
465,2022,10,Régions et Départements d'outre-mer,0.07020053523913372
466,2022,11,Régions et Départements d'outre-mer,0.09619293890790548
467,2022,12,Régions et Départements d'outre-mer,0.009068742011331565
468,2023,1,Auvergne-Rhône-Alpes,0.13592345550122076
469,2023,2,Auvergne-Rhône-Alpes,0.053803749606535334
470,2023,3,Auvergne-Rhône-Alpes,0.041816163950806784
471,2023,4,Auvergne-Rhône-Alpes,0.026478416795918447
472,2023,5,Auvergne-Rhône-Alpes,-0.0005211396326285644
473,2023,6,Auvergne-Rhône-Alpes,0.0851987910626486
474,2023,7,Auvergne-Rhône-Alpes,0.0654173165306513
475,2023,8,Auvergne-Rhône-Alpes,0.0631263717641184
476,2023,9,Auvergne-Rhône-Alpes,0.01579490633878078
477,2023,10,Auvergne-Rhône-Alpes,0.0807897167038818
478,2023,11,Auvergne-Rhône-Alpes,0.06916114235219539
479,2023,12,Auvergne-Rhône-Alpes,0.04199067781657595
480,2023,1,Bourgogne-Franche-Comté,0.10165633256351536
481,2023,2,Bourgogne-Franche-Comté,0.06858364135658257
482,2023,3,Bourgogne-Franche-Comté,0.04166103069990701
483,2023,4,Bourgogne-Franche-Comté,0.018457082979689288
484,2023,5,Bourgogne-Franche-Comté,-0.006109305610302318
485,2023,6,Bourgogne-Franche-Comté,0.07837304422799019
486,2023,7,Bourgogne-Franche-Comté,0.05097576525025649
487,2023,8,Bourgogne-Franche-Comté,0.05358598279399662
488,2023,9,Bourgogne-Franche-Comté,0.010101475116270686
489,2023,10,Bourgogne-Franche-Comté,0.07327133972958677
490,2023,11,Bourgogne-Franche-Comté,0.07231291826416508
491,2023,12,Bourgogne-Franche-Comté,0.046100548694037125
492,2023,1,Bretagne,0.0984857915345625
493,2023,2,Bretagne,0.07847953610730785
494,2023,3,Bretagne,0.04771668475303037
495,2023,4,Bretagne,0.013786951061112829
496,2023,5,Bretagne,-0.01068217388370818
497,2023,6,Bretagne,0.07455545929982366
498,2023,7,Bretagne,0.06630922275056683
499,2023,8,Bretagne,0.07811828419220879
500,2023,9,Bretagne,0.015506953340874707
501,2023,10,Bretagne,0.07887010032152042
502,2023,11,Bretagne,0.061199684515758745
503,2023,12,Bretagne,0.06076729667646297
504,2023,1,Centre-Val-de-Loire,0.10818871470153124
505,2023,2,Centre-Val-de-Loire,0.0660942072925037
