Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2020,1,20,2,123791465.05,387626522.09
2020,1,30,1,105742140.83,343243806.25
2020,1,30,2,172194856.23,570112503.62
2020,1,40,0,13.44,38.56
2020,1,40,1,149186255.44,488920567.17
2020,1,40,2,203901995.4,626426637.87
2020,1,50,1,199227502.33,761164352.45
2020,1,50,2,245440994.32,833990515.56
2020,1,60,1,209348994.97,1088762049.77
2020,1,60,2,246855412.95,963747316.18
2020,1,70,1,180480499.68,989029654.17
2020,1,70,2,222386800.8,971632377.33
2020,1,80,0,329.33000000000004,849.06
2020,1,80,1,123829754.07,760344678.0
2020,1,80,2,226725125.43,1185206674.28
2020,1,99,0,0.0,441884.44
2020,1,99,1,318626.46,2315830.3
2020,1,99,2,336794.92,1943192.6
2020,2,0,0,39.52,277.1
2020,2,0,1,205791412.51,566677193.92
2020,2,0,2,213781936.97,529547174.59
2020,2,20,1,75241996.66,228968996.22
2020,2,20,2,123067368.5,366488925.37
2020,2,30,1,105820232.94,327827034.28
2020,2,30,2,173607926.58,546103094.62
2020,2,40,1,155753057.47,475108370.81
2020,2,40,2,215637923.9,620196179.17
2020,2,50,1,211629246.3,735455254.62
2020,2,50,2,266031833.81,832145858.05
2020,2,60,1,224486750.14,1052562813.02
2020,2,60,2,272136974.39,954944255.98
2020,2,70,1,191409705.18,948692993.14
2020,2,70,2,242239937.26,958638592.26
2020,2,80,1,122088255.21,706758539.78
2020,2,80,2,220825947.94,1102947752.62
2020,2,99,0,686.53,2996146.41
2020,2,99,1,258535.31,2178688.47
2020,2,99,2,304398.53,1804465.93
2020,3,0,0,513.9499999999999,2975.94
2020,3,0,1,176597930.08,498115884.56
2020,3,0,2,184718099.58,464677441.57
2020,3,20,1,68349607.92,225062197.69
2020,3,20,2,112990511.8,354977771.12
2020,3,30,1,95751608.33,324878600.47
2020,3,30,2,157520734.34,532698580.4
2020,3,40,1,141358300.59,474486578.66
2020,3,40,2,196519897.4,607729536.94
2020,3,50,1,193105272.43,744494841.42
2020,3,50,2,240631462.93,816159207.69
2020,3,60,1,202104280.34,1066940434.12
2020,3,60,2,240715802.41,938355116.04
2020,3,70,1,173643287.51,968743689.76
2020,3,70,2,217526160.71,946932707.3
2020,3,80,0,401.86,1445.31
2020,3,80,1,114255076.07,729089376.86
2020,3,80,2,209657368.59,1125782472.63
2020,3,99,0,1214.32,282931595.79
2020,3,99,1,257696.22,13868916.48
2020,3,99,2,300977.51,11902118.73
2020,4,0,0,648.66,4402.679999999999
2020,4,0,1,64021326.9,253923110.33
2020,4,0,2,64804387.65,218035022.44
2020,4,20,1,30657510.64,135879053.79
2020,4,20,2,54542667.87,229317510.83
2020,4,30,1,42873510.68,207994391.31
2020,4,30,2,75708524.97,363710049.69
2020,4,40,1,58608697.09,297855069.29
2020,4,40,2,77089668.31,364017544.94
2020,4,50,1,79473372.73,483471801.11
2020,4,50,2,91447379.99,483619036.45
2020,4,60,1,89627881.34,944809886.3
2020,4,60,2,95329805.6,580605831.07
2020,4,70,1,82647100.84,697366353.51
2020,4,70,2,97687786.93,623802881.54
2020,4,80,0,8.219999999999999,159.44
2020,4,80,1,65269346.13,559971017.19
2020,4,80,2,129336232.92,853020818.18
2020,4,99,0,1266.64,580035747.6899999
2020,4,99,1,161734.51,32100734.34
2020,4,99,2,154038.12,39047441.15
2020,5,0,0,0.0,573.06
2020,5,0,1,123190306.25,342083972.72
2020,5,0,2,135159590.44,327247848.23
2020,5,0,9,332.79,820.59
2020,5,20,1,41142472.21,149861361.66
2020,5,20,2,72251487.47,259782187.97
2020,5,30,1,60116961.3,234398462.81
2020,5,30,2,100321592.27,411215023.69
2020,5,30,9,116.06,270.34
2020,5,40,1,87849771.04,343645618.56
2020,5,40,2,116699280.07,433943737.89
2020,5,40,9,80.21999999999998,199.87
2020,5,50,1,121620202.44,543617117.11
2020,5,50,2,144513671.91,567793555.27
2020,5,50,9,13.020000000000003,53.46
2020,5,60,1,132487377.15,1433803290.11
2020,5,60,2,148643890.15,664291870.52
2020,5,70,1,115391906.51,737379773.54
2020,5,70,2,139038911.41,688262203.1
2020,5,80,0,28.09999999999997,481.77
2020,5,80,1,82903826.9,586386837.76
2020,5,80,2,157470061.19,907756252.86
2020,5,99,0,0.0,76341185.42
2020,5,99,1,181244.92,9835452.09
2020,5,99,2,175585.9,4189419.45
2020,6,0,0,8.32,883.33
2020,6,0,1,215555935.03,542949415.4
2020,6,0,2,235516470.14,528182430.04
2020,6,20,0,0.0,47.25
2020,6,20,1,79635654.44,239846448.53
2020,6,20,2,130777577.87,391881898.93
2020,6,30,1,111744708.04,342856205.43
2020,6,30,2,180444826.06,581893144.98
2020,6,40,1,170634548.79,509744360.18
2020,6,40,2,234291306.55,662649867.89
2020,6,50,1,241541848.28,806475173.68
2020,6,50,2,297573392.57,885497216.59
2020,6,60,1,252811263.42,1635418770.83
2020,6,60,2,300461765.24,1017115752.6
2020,6,70,1,214171228.58,1044247917.93
2020,6,70,2,267251510.17,1029113175.2
2020,6,80,1,137144125.45,786219671.46
2020,6,80,2,252187881.83,1235749689.05
2020,6,99,0,0.0,183943861.74
2020,6,99,1,277205.99,15566959.1
2020,6,99,2,290952.94,14269264.3
2020,7,0,0,0.0,58.92
2020,7,0,1,207554522.66,566100346.48
2020,7,0,2,221167334.76,533281446.13
2020,7,20,1,84910451.78,251486602.15
2020,7,20,2,137516053.26,404542938.97
2020,7,30,1,118028379.82,352888662.59
2020,7,30,2,190199837.83,591634959.83
2020,7,40,1,176675534.77,517499107.68
2020,7,40,2,244286756.64,674995397.03
2020,7,50,1,248017357.1,809481085.98
2020,7,50,2,309927170.04,905331522.62
2020,7,60,1,251860874.73,1353186381.12
2020,7,60,2,300925376.37,1013110555.95
2020,7,70,1,213328372.92,1029240879.31
2020,7,70,2,268482182.21,1026202358.49
2020,7,80,0,1604.32,4865.94
2020,7,80,1,137412090.22,775416105.51
2020,7,80,2,252722855.98,1218692708.1
2020,7,99,0,3917.48,57943467.49
2020,7,99,1,286562.92,10091409.73
2020,7,99,2,312161.88,3234998.39
2020,8,0,0,165.84999999999997,476.62
2020,8,0,1,138559456.69,378164278.05
2020,8,0,2,147316688.28,364831349.09
2020,8,20,1,65076162.9,211968790.0
2020,8,20,2,104803755.56,333462600.26
2020,8,30,1,83349162.09,283273973.16
2020,8,30,2,134358956.79,461716156.61
2020,8,40,0,0.0,44.0
2020,8,40,1,120386372.04,399268708.96
2020,8,40,2,166438695.47,509521683.02
2020,8,50,0,0.0,27.0
2020,8,50,1,168190488.2,633696368.14
2020,8,50,2,207713868.01,689832693.28
2020,8,60,0,0.0,81.0
2020,8,60,1,171457337.5,1040533629.11
2020,8,60,2,200030867.41,786486843.48
2020,8,70,1,149501947.4,851048731.49
2020,8,70,2,184449757.93,819276092.95
2020,8,80,0,16024.96,44643.09
2020,8,80,1,102412539.46,655388095.33
2020,8,80,2,192203208.21,1027371166.96
2020,8,99,0,4632.4,706023.67
2020,8,99,1,215767.66,1978209.1
2020,8,99,2,244438.33,1635205.28
2020,9,0,0,21295.370000000003,105861.13
2020,9,0,1,225317226.98,589500009.64
2020,9,0,2,237305520.34,563679885.96
2020,9,20,1,84338195.96,273937697.41
2020,9,20,2,136105510.34,430481205.97
2020,9,30,1,114067049.93,368903077.52
2020,9,30,2,184783852.92,611018687.97
2020,9,40,0,0.0,27.0
2020,9,40,1,169342250.82,522433116.4
2020,9,40,2,233899886.8,677080697.14
2020,9,50,1,228897145.07,799211927.24
2020,9,50,2,284453792.12,891631704.74
2020,9,60,1,227618363.87,1151448408.36
2020,9,60,2,276083479.27,1005550542.19
2020,9,70,1,195775647.85,1030667539.16
2020,9,70,2,250848304.58,1032308392.46
2020,9,80,0,13667.52,44985.06
2020,9,80,1,129619665.8,779525379.11
2020,9,80,2,239847087.54,1228942425.08
2020,9,99,0,26492.04,200237877.88
2020,9,99,1,291375.14,14106771.03
2020,9,99,2,329803.52,8735353.15
2020,10,0,0,126.84,737.59
2020,10,0,1,215114124.01,614746776.42
2020,10,0,2,223230139.92,571546955.04
2020,10,20,1,84697378.34,286329181.86
2020,10,20,2,139156527.19,446466910.43
2020,10,30,0,0.0,25.0
2020,10,30,1,119784869.67,388273914.0
2020,10,30,2,196288172.84,645099516.45
2020,10,40,1,180094887.79,551447333.46
2020,10,40,2,250732803.5,723606190.28
2020,10,50,1,250309515.45,852632778.55
2020,10,50,2,312198286.49,958269645.18
2020,10,60,1,260417946.78,1231987036.61
2020,10,60,2,316726282.35,1094044745.12
2020,10,70,1,226059326.57,1106215139.46
2020,10,70,2,288235978.64,1121412898.37
