FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201901.0,2.0,0.0,52.0,10400682.660000008,24143950.10999885,13743267.44999988
201901.0,2.0,30.0,32.0,11813607.189999884,39975750.63999896,28162143.449998796
201901.0,1.0,80.0,5.0,2182412.1799999895,18523314.45999962,16340902.27999984
201901.0,1.0,30.0,52.0,4166042.2300000256,13646224.249999626,9480182.020000003
201901.0,1.0,80.0,93.0,13180210.479999892,88611594.33000328,75431383.85000044
201901.0,2.0,30.0,93.0,12158921.909999693,40751810.13999907,28592888.229998447
201901.0,1.0,0.0,5.0,3103658.1499999953,10851150.28999993,7747492.140000018
201901.0,1.0,80.0,84.0,13523313.070000017,73122392.66000126,59599079.58999904
201901.0,2.0,70.0,53.0,9427140.839999875,39663740.41999911,30236599.579998117
201901.0,1.0,30.0,32.0,7566257.299999939,25454041.269999374,17887783.969999865
201901.0,1.0,20.0,44.0,5755033.309999892,16751035.519999363,10996002.210000131
201901.0,1.0,0.0,53.0,7560102.119999864,19796364.019999254,12236261.899999982
201901.0,1.0,20.0,75.0,4813585.389999968,14962133.349999413,10148547.960000044
201901.0,1.0,60.0,75.0,19589337.809999626,98317919.88000439,78728582.0699995
201901.0,2.0,60.0,76.0,21916121.28999983,84356642.05000336,62440520.75999823
201901.0,1.0,50.0,27.0,7358098.909999868,25271412.93999885,17913314.029999405
201901.0,2.0,30.0,27.0,4574567.940000008,14863405.829999497,10288837.889999934
201901.0,2.0,60.0,44.0,23222010.57999958,78579781.29000372,55357770.70999805
201901.0,2.0,70.0,52.0,10390941.859999953,39021425.97999888,28630484.119998332
201901.0,1.0,70.0,44.0,16287527.059999805,72363738.28000297,56076211.21999893
201901.0,2.0,60.0,84.0,28344097.129999425,95177061.7800035,66832964.64999791
201901.0,1.0,30.0,28.0,3560504.8600000115,12281704.889999686,8721200.03000005
201901.0,2.0,40.0,11.0,45313374.8699993,112775891.01000528,67462516.13999806
201901.0,2.0,30.0,52.0,6674716.659999937,23439036.21999923,16764319.559999704
201901.0,2.0,20.0,27.0,3401034.7000000523,10343070.639999587,6942035.940000073
201901.0,2.0,60.0,28.0,11232161.870000005,42579642.34999926,31347480.479998257
201901.0,1.0,70.0,28.0,7652206.3899998795,39937404.149999045,32285197.75999874
201901.0,2.0,70.0,32.0,16602620.97999996,75249342.9800016,58646721.99999788
201901.0,2.0,0.0,32.0,16387323.299999878,38786070.71999855,22398747.419999715
201901.0,2.0,20.0,84.0,14060819.999999672,40349920.639998004,26289100.639997985
201901.0,2.0,50.0,76.0,20062175.479999788,67631834.89000179,47569659.40999853
201901.0,2.0,70.0,11.0,34644713.539999984,123101487.07000609,88456773.52999833
201901.0,1.0,0.0,44.0,15804152.230000017,42178768.459998965,26374616.229999524
201901.0,2.0,40.0,44.0,16174870.319999993,45426971.4099994,29252101.089998744
201901.0,1.0,0.0,11.0,38557333.669999085,101155676.71000333,62598343.03999818
201901.0,1.0,30.0,53.0,3223890.780000016,11036525.289999707,7812634.510000078
201901.0,2.0,50.0,24.0,8024260.689999886,25944430.589998525,17920169.899999514
201901.0,2.0,50.0,27.0,9133634.719999894,28576656.679998484,19443021.959999498
201901.0,2.0,70.0,84.0,25021714.209999755,96045454.74000484,71023740.52999903
201901.0,1.0,70.0,76.0,16376002.189999875,92371451.83000296,75995449.63999878
201901.0,1.0,50.0,28.0,8526968.669999855,31672403.39999866,23145434.729999084
201901.0,1.0,20.0,93.0,5164658.39999994,18036207.719999105,12871549.31999999
201901.0,2.0,20.0,44.0,9102848.919999791,27201443.759998117,18098594.839999594
201901.0,2.0,0.0,28.0,8244246.449999815,20881037.0299992,12636790.579999944
201901.0,2.0,50.0,5.0,5774022.309999993,23016610.07999947,17242587.769999824
201901.0,1.0,80.0,24.0,4215141.850000015,24304412.97999857,20089271.129999302
201901.0,2.0,50.0,28.0,10480000.679999877,34538014.83999835,24058014.15999905
201901.0,1.0,80.0,27.0,4726260.629999998,26366059.669998534,21639799.03999923
201901.0,1.0,80.0,75.0,12164454.049999932,73389462.24000163,61225008.18999899
201901.0,2.0,20.0,5.0,1880940.4799999923,7885949.469999993,6005008.990000017
201901.0,1.0,50.0,52.0,9335443.609999873,32478249.67999866,23142806.069999266
201901.0,2.0,50.0,93.0,21157963.119999666,73039114.56000218,51881151.439998515
201901.0,1.0,60.0,24.0,7622736.239999864,38066340.089998215,30443603.849998716
201901.0,1.0,20.0,27.0,2078205.4200000193,6144608.75999991,4066403.3400000306
201901.0,1.0,20.0,76.0,5448991.359999865,18106957.73999934,12657966.379999973
201901.0,1.0,20.0,11.0,14405850.459999781,39119268.019998685,24713417.55999903
201901.0,1.0,70.0,5.0,3209999.219999988,22841182.88999943,19631183.669999674
201901.0,1.0,0.0,27.0,5971008.09999993,14600429.639999514,8629421.540000081
201901.0,2.0,80.0,32.0,18073904.879999947,93195410.49000256,75121505.60999879
201901.0,2.0,40.0,24.0,6283607.829999926,18566280.129999157,12282672.29999988
201901.0,1.0,70.0,24.0,6355058.9099998735,32908592.30999807,26553533.39999852
201901.0,2.0,30.0,76.0,11184167.549999863,39884601.20999899,28700433.659998655
201901.0,2.0,40.0,52.0,9291133.329999924,26730873.729998864,17439740.39999973
201901.0,2.0,80.0,44.0,22644808.23999978,88160314.12000152,65515505.879998416
201901.0,2.0,20.0,52.0,4936544.629999979,15903660.689999387,10967116.060000023
201901.0,1.0,30.0,84.0,10780977.199999923,32663078.969998695,21882101.76999934
201901.0,1.0,70.0,11.0,26073795.09999992,118694216.7300037,92620421.62999812
201901.0,1.0,70.0,53.0,7362647.309999898,39940717.899999715,32578070.589998573
201901.0,1.0,70.0,84.0,20825184.85999996,97047709.0200035,76222524.15999964
201901.0,1.0,60.0,84.0,24123937.339999445,111996717.2600041,87872779.91999976
201901.0,1.0,30.0,5.0,1479333.6500000032,6480439.810000009,5001106.160000016
201901.0,1.0,70.0,93.0,17192435.63000002,96514469.58000286,79322033.9499986
201901.0,2.0,40.0,27.0,6672731.699999917,19277507.829999156,12604776.129999824
201901.0,2.0,20.0,75.0,7804345.019999721,24196686.659998484,16392341.639999915
201901.0,2.0,0.0,84.0,24255766.339999825,58297899.740000024,34042133.39999869
201901.0,2.0,40.0,75.0,15287965.429999927,44542475.71999945,29254510.289998543
201901.0,2.0,60.0,52.0,12222852.14999992,41736350.49999886,29513498.349998444
201901.0,2.0,40.0,28.0,7851559.1299998835,23676088.029998694,15824528.899999741
201901.0,2.0,60.0,93.0,22221766.569999833,86191708.03000377,63969941.45999784
201901.0,1.0,50.0,32.0,16164766.069999976,63715173.50000074,47550407.42999913
201901.0,1.0,0.0,32.0,15014115.340000084,39398562.829998896,24384447.489999317
201901.0,2.0,0.0,93.0,14493929.249999993,36431877.37999783,21937948.12999912
201901.0,2.0,80.0,53.0,10496029.389999866,55071642.690000445,44575613.29999897
201901.0,1.0,50.0,5.0,4146999.679999985,20047096.42999958,15900096.749999812
